id;zona;piso;estrato;preciom;areaconst;parqueaderos;banios;habitaciones;tipo;barrio;longitud;latitud;zona_numerica;tipo_numerica
1147;Zona Oriente;4;3;250;70;1;3;6;Casa;20 de julio;-76,51168;3,43382;4;2
1169;Zona Oriente;4;3;320;120;1;2;3;Casa;20 de julio;-76,51237;3,43369;4;2
1350;Zona Oriente;4;3;350;220;2;2;4;Casa;20 de julio;-76,51537;3,43566;4;2
5992;Zona Sur;2;4;400;280;3;5;3;Casa;3 de julio;-76,54;3,435;5;2
1212;Zona Norte;1;5;260;90;1;2;3;Apartamento;acopi;-76,5135;3,45891;2;1
1724;Zona Norte;1;5;240;87;1;3;3;Apartamento;acopi;-76,517;3,36971;2;1
2326;Zona Norte;1;4;220;52;2;2;3;Apartamento;acopi;-76,51974;3,42627;2;1
4386;Zona Norte;1;5;310;137;2;3;4;Apartamento;acopi;-76,53105;3,38296;2;1
1209;Zona Norte;2;5;320;150;2;4;6;Casa;acopi;-76,51341;3,47968;2;2
1592;Zona Norte;2;5;780;380;2;3;3;Casa;acopi;-76,51674;3,48721;2;2
4057;Zona Norte;2;6;750;445;2;7;6;Casa;acopi;-76,5295;3,38527;2;2
4460;Zona Norte;2;4;625;355;3;5;5;Casa;acopi;-76,53179;3,4059;2;2
6081;Zona Norte;2;5;750;237;2;6;6;Casa;acopi;-76,54044;3,36862;2;2
7497;Zona Norte;2;6;520;98;2;2;2;Apartamento;acopi;-76,54999;3,43505;2;1
7824;Zona Norte;2;4;600;160;1;4;5;Casa;acopi;-76,5521;3,42125;2;2
7987;Zona Norte;2;5;420;200;4;4;5;Casa;acopi;-76,55363;3,4005;2;2
3495;Zona Norte;3;5;490;118;2;4;4;Casa;acopi;-76,5268;3,37823;2;2
5424;Zona Norte;3;4;320;108;2;3;3;Apartamento;acopi;-76,53638;3,4077;2;1
6271;Zona Norte;3;5;385;103;2;2;3;Apartamento;acopi;-76,54173;3,424;2;1
6857;Zona Norte;3;3;100;49;2;1;2;Apartamento;acopi;-76,54531;3,37775;2;1
3817;Zona Norte;4;3;175;80;1;2;3;Apartamento;acopi;-76,52875;3,42006;2;1
509;Zona Norte;5;6;820;377;1;4;4;Apartamento;acopi;-76,4978;3,47663;2;1
